# theta_deg_in  	lift_in_mm	theta_deg_in	lift_ex_mm
0	0	0	0
1	0.002394685	1	0.002970277
2	0.010877365	2	0.008970162
3	0.020502366	3	0.015334798
4	0.031270162	4	0.022060188
5	0.043264956	5	0.029172942
6	0.056939609	6	0.036735671
7	0.072947906	7	0.04485108
8	0.091927103	8	0.053663062
9	0.114229361	9	0.06335352
10	0.139875898	10	0.074135065
11	0.168847766	11	0.086241342
12	0.201128343	12	0.099917591
13	0.23670306	13	0.115413169
14	0.275559688	14	0.132976793
15	0.317688055	15	0.152853446
16	0.363080292	16	0.17528206
17	0.41173077	17	0.200492964
18	0.463635917	18	0.228705226
19	0.518794485	19	0.260123118
20	0.577207442	20	0.294931442
21	0.638877899	21	0.333288634
22	0.703811167	22	0.375315021
23	0.772014814	23	0.421080291
24	0.843498221	24	0.470609247
25	0.918274029	25	0.523910506
26	0.996356036	26	0.580991447
27	1.077760644	27	0.64185995
28	1.162506151	28	0.706524014
29	1.250613758	29	0.774990835
30	1.342106066	30	0.847266622
31	1.437008373	31	0.92335675
32	1.535348081	32	1.003263946
33	1.637154788	33	1.086988821
34	1.742454495	34	1.174527676
35	1.851114603	35	1.265871067
36	1.96260111	36	1.360997628
37	2.076251617	37	1.459860055
38	2.191413425	38	1.562354984
39	2.307643032	39	1.668299619
40	2.42486274	40	1.7774642
41	2.543072547	41	1.889609787
42	2.662272154	42	2.004494298
43	2.782462062	43	2.121874795
44	2.903641669	44	2.241507612
45	3.025811477	45	2.363150425
46	3.148971384	46	2.486562808
47	3.273120891	47	2.611505535
48	3.398260799	48	2.737743396
49	3.524390606	49	2.865044059
50	3.651510413	50	2.99318168
51	3.779620121	51	3.121937081
52	3.908720028	52	3.251100914
53	4.038782636	53	3.38047541
54	4.169595443	54	3.509878141
55	4.30077705	55	3.6391427
56	4.431930158	56	3.768121411
57	4.562654765	57	3.896684258
58	4.692552272	58	4.024718637
59	4.82123798	59	4.152126622
60	4.948475087	60	4.278823419
61	5.074205695	61	4.40473301
62	5.198397902	62	4.529788569
63	5.321019009	63	4.653927858
64	5.442038917	64	4.777092573
65	5.561426624	65	4.899228074
66	5.679151432	66	5.020280877
67	5.795184539	67	5.140198968
68	5.909496246	68	5.258931355
69	6.022059454	69	5.376427612
70	6.132845161	70	5.492638279
71	6.241826268	71	5.607516258
72	6.348976676	72	5.721013763
73	6.454270483	73	5.833086258
74	6.557681591	74	5.943690269
75	6.659185698	75	6.052783202
76	6.758757805	76	6.160324887
77	6.856374513	77	6.266276123
78	6.95201302	78	6.370599486
79	7.045650128	79	6.473258531
80	7.137265235	80	6.574218906
81	7.226835342	81	6.673446423
82	7.31434045	82	6.770908354
83	7.399759557	83	6.866573963
84	7.483074664	84	6.960413368
85	7.564264772	85	7.052396403
86	7.643312479	86	7.142494296
87	7.720199687	87	7.230680061
88	7.794908694	88	7.316926444
89	7.867423201	89	7.401207875
90	7.937726709	90	7.483499154
91	8.005803416	91	7.563775341
92	8.071638523	92	7.64201286
93	8.135218631	93	7.718189287
94	8.196528738	94	7.792281462
95	8.255554846	95	7.864268483
96	8.312285953	96	7.934128594
97	8.36671006	97	8.001842619
98	8.418813168	98	8.067389666
99	8.468586275	99	8.130750553
100	8.516018383	100	8.19190824
101	8.56110049	101	8.250843767
102	8.603821597	102	8.307540355
103	8.644175705	103	8.361980042
104	8.682152812	104	8.414148349
105	8.717745919	105	8.464030456
106	8.750948027	106	8.511608183
107	8.781753134	107	8.55686905
108	8.810154242	108	8.599800497
109	8.836148349	109	8.640386824
110	8.859729456	110	8.678616811
111	8.880894064	111	8.714479118
112	8.899638671	112	8.747958865
113	8.915959779	113	8.779047972
114	8.929855886	114	8.807733999
115	8.941324993	115	8.834008426
116	8.950365101	116	8.857860993
117	8.956978208	117	8.879282
118	8.961210315	118	8.898265187
119	8.963419423	119	8.914802254
120	8.96424253	120	8.928883541
121	8.964340638	121	8.940504228
122	8.964261745	122	8.949656655
123	8.964177852	123	8.956337742
124	8.96409396	124	8.960540049
125	8.964010067	125	8.962260056
126	8.963926174	126	8.961492764
127	8.963842282	127	8.958234211
128	8.963758389	128	8.952483138
129	8.963674497	129	8.944237025
130	8.963590604	130	8.933492392
131	8.963506711	131	8.920248279
132	8.963422819	132	8.904505386
133	8.963338926	133	8.886261493
134	8.963255034	134	8.8655179
135	8.963171141	135	8.842277527
136	8.963087248	136	8.816538674
137	8.963003356	137	8.788304121
138	8.962919463	138	8.757578088
139	8.96283557	139	8.724363095
140	8.962751678	140	8.688662882
141	8.962667785	141	8.650481489
142	8.962583893	142	8.609825136
143	8.9625	143	8.566698343
144	8.962416107	144	8.52110789
145	8.962332215	145	8.473061477
146	8.962248322	146	8.422564664
147	8.96216443	147	8.369627191
148	8.962080537	148	8.314258058
149	8.961996644	149	8.256466265
150	8.961912752	150	8.196261593
151	8.961828859	151	8.13365604
152	8.961744966	152	8.068660567
153	8.961661074	153	8.001285774
154	8.961577181	154	7.931547581
155	8.961492289	155	7.859457028
156	8.961391396	156	7.785029155
157	8.961078503	157	7.708280662
158	8.960123611	158	7.629225589
159	8.958061718	159	7.547881274
160	8.954428826	160	7.464265627
161	8.948776933	161	7.378396306
162	8.94086004	162	7.290293359
163	8.930652148	163	7.199977128
164	8.918152255	164	7.107469369
165	8.903362362	165	7.012792646
166	8.88628447	166	6.915971105
167	8.866920577	167	6.817030264
168	8.845274185	168	6.715996241
169	8.821348792	169	6.612897946
170	8.795146899	170	6.507764349
171	8.766676007	171	6.40062762
172	8.735939114	172	6.291520287
173	8.702944221	173	6.180477314
174	8.667695329	174	6.067535481
175	8.630200436	175	5.952733997
176	8.590468544	176	5.836113752
177	8.548506651	177	5.717718695
178	8.504322758	178	5.59759403
179	8.457926866	179	5.475789165
180	8.409329973	180	5.35235514
181	8.358541081	181	5.227346709
182	8.305572188	182	5.100821838
183	8.250434295	183	4.972842567
184	8.193139403	184	4.843474312
185	8.13370251	185	4.712785415
186	8.072134617	186	4.58085071
187	8.008450725	187	4.447750333
188	7.942663832	188	4.3135688
189	7.87479154	189	4.178397045
190	7.804848547	190	4.042332604
191	7.732851154	191	3.905481483
192	7.658815862	192	3.767958334
193	7.582760869	193	3.629888035
194	7.504703477	194	3.491406804
195	7.424663184	195	3.352665419
196	7.342658691	196	3.21383027
197	7.258709099	197	3.075085261
198	7.172835906	198	2.936634722
199	7.085060013	199	2.79870416
200	6.995402121	200	2.661542829
201	6.903884628	201	2.525425794
202	6.810530336	202	2.390655637
203	6.715362843	203	2.257564652
204	6.61840555	204	2.126512241
205	6.519683258	205	1.997883452
206	6.419220365	206	1.872079987
207	6.317042872	207	1.749506828
208	6.21317698	208	1.630554301
209	6.107649787	209	1.515578152
210	6.000487895	210	1.404884017
211	5.891719302	211	1.298721626
212	5.781372709	212	1.197288679
213	5.669477517	213	1.10073889
214	5.556062924	214	1.009186433
215	5.441158932	215	0.92271085
216	5.324797439	216	0.841359059
217	5.207008646	217	0.765148032
218	5.087824654	218	0.694065563
219	4.967278861	219	0.628068998
220	4.845403568	220	0.567090922
221	4.722232776	221	0.511034274
222	4.597800483	222	0.459773177
223	4.472142191	223	0.413151521
224	4.345293098	224	0.370981355
225	4.217288505	225	0.333041765
226	4.088166313	226	0.299080522
227	3.95796262	227	0.268817335
228	3.826715628	228	0.241948334
229	3.694463635	229	0.218150968
230	3.561245642	230	0.19709032
231	3.42711705	231	0.178425849
232	3.292259957	232	0.161819125
233	3.156965564	233	0.146941945
234	3.021538772	234	0.13348485
235	2.886287879	235	0.121165549
236	2.751522687	236	0.1097369
237	2.617557694	237	0.098991978
