# theta_in_deg  lift_in_mm   theta_ex_deg  lift_ex_mm
0      0.00     0      0.00
20     0.00     20     0.50
40     0.50     40     3.00
60     3.50     60     7.00
80     7.50     80     8.00
100    7.50     100    6.00
120    5.00     120    2.00
140    2.00     140    0.00
180    0.00     180    0.00
340    0.00     340    0.00
360    0.00     360    0.00
380    0.50     380    0.00
400    3.00     400    0.00
420    7.00     420    0.00
440    8.00     440    0.00
460    6.00     460    0.00
480    2.00     480    0.00
500    0.00     500    0.00
720    0.00     720    0.00
