# theta_deg_in  	lift_in_mm	theta_deg_in	lift_ex_mm
-73	0	-73	0
-72	0.00191	-72	0.00191
-71	0.00533	-71	0.00533
-70	0.0107	-70	0.0107
-69	0.0179	-69	0.0179
-68	0.0271	-68	0.0271
-67	0.0373	-67	0.0373
-66	0.0495	-66	0.0495
-65	0.0648	-65	0.0648
-64	0.0842	-64	0.0842
-63	0.10897	-63	0.10897
-62	0.14021	-62	0.14021
-61	0.17907	-61	0.17907
-60	0.2267	-60	0.2267
-59	0.28423	-59	0.28423
-58	0.35319	-58	0.35319
-57	0.43358	-57	0.43358
-56	0.52578	-56	0.52578
-55	0.62979	-55	0.62979
-54	0.74562	-54	0.74562
-53	0.87363	-53	0.87363
-52	1.0138	-52	1.0138
-51	1.1662	-51	1.1662
-50	1.3312	-50	1.3312
-49	1.5088	-49	1.5088
-48	1.6989	-48	1.6989
-47	1.9016	-47	1.9016
-46	2.1168	-46	2.1168
-45	2.3443	-45	2.3443
-44	2.5836	-44	2.5836
-43	2.8331	-43	2.8331
-42	3.0911	-42	3.0911
-41	3.3555	-41	3.3555
-40	3.6245	-40	3.6245
-39	3.8961	-39	3.8961
-38	4.1689	-38	4.1689
-37	4.4417	-37	4.4417
-36	4.7137	-36	4.7137
-35	4.9842	-35	4.9842
-34	5.2525	-34	5.2525
-33	5.5176	-33	5.5176
-32	5.779	-32	5.779
-31	6.0358	-31	6.0358
-30	6.2873	-30	6.2873
-29	6.5326	-29	6.5326
-28	6.7715	-28	6.7715
-27	7.0035	-27	7.0035
-26	7.2283	-26	7.2283
-25	7.4459	-25	7.4459
-24	7.6558	-24	7.6558
-23	7.8581	-23	7.8581
-22	8.0528	-22	8.0528
-21	8.2395	-21	8.2395
-20	8.4182	-20	8.4182
-19	8.5889	-19	8.5889
-18	8.7516	-18	8.7516
-17	8.9059	-17	8.9059
-16	9.0518	-16	9.0518
-15	9.1893	-15	9.1893
-14	9.3185	-14	9.3185
-13	9.4393	-13	9.4393
-12	9.5513	-12	9.5513
-11	9.6545	-11	9.6545
-10	9.749	-10	9.749
-9	9.8348	-9	9.8348
-8	9.9117	-8	9.9117
-7	9.9799	-7	9.9799
-6	10.039	-6	10.039
-5	10.09	-5	10.09
-4	10.131	-4	10.131
-3	10.163	-3	10.163
-2	10.186	-2	10.186
-1	10.199	-1	10.199
0	10.204	0	10.204
1	10.199	1	10.199
2	10.186	2	10.186
3	10.163	3	10.163
4	10.131	4	10.131
5	10.09	5	10.09
6	10.039	6	10.039
7	9.9799	7	9.9799
8	9.9117	8	9.9117
9	9.8348	9	9.8348
10	9.749	10	9.749
11	9.6545	11	9.6545
12	9.5513	12	9.5513
13	9.4393	13	9.4393
14	9.3185	14	9.3185
15	9.1893	15	9.1893
16	9.0518	16	9.0518
17	8.9059	17	8.9059
18	8.7516	18	8.7516
19	8.5889	19	8.5889
20	8.4182	20	8.4182
21	8.2395	21	8.2395
22	8.0528	22	8.0528
23	7.8581	23	7.8581
24	7.6558	24	7.6558
25	7.4459	25	7.4459
26	7.2283	26	7.2283
27	7.0035	27	7.0035
28	6.7715	28	6.7715
29	6.5326	29	6.5326
30	6.2873	30	6.2873
31	6.0358	31	6.0358
32	5.779	32	5.779
33	5.5176	33	5.5176
34	5.2525	34	5.2525
35	4.9842	35	4.9842
36	4.7137	36	4.7137
37	4.4421	37	4.4421
38	4.1704	38	4.1704
39	3.8999	39	3.8999
40	3.6321	40	3.6321
41	3.3684	41	3.3684
42	3.1105	42	3.1105
43	2.8598	43	2.8598
44	2.6182	44	2.6182
45	2.3873	45	2.3873
46	2.1687	46	2.1687
47	1.9625	47	1.9625
48	1.769	48	1.769
49	1.588	49	1.588
50	1.4196	50	1.4196
51	1.2638	51	1.2638
52	1.1205	52	1.1205
53	0.98946	53	0.98946
54	0.87059	54	0.87059
55	0.76352	55	0.76352
56	0.66827	56	0.66827
57	0.58407	57	0.58407
58	0.51016	58	0.51016
59	0.44577	59	0.44577
60	0.39014	60	0.39014
61	0.34252	61	0.34252
62	0.30213	62	0.30213
63	0.26822	63	0.26822
64	0.24003	64	0.24003
65	0.21679	65	0.21679
66	0.19736	66	0.19736
67	0.18059	67	0.18059
68	0.16574	68	0.16574
69	0.15202	69	0.15202
70	0.1383	70	0.1383
71	0.12459	71	0.12459
72	0.11087	72	0.11087
73	0.0972	73	0.0972
74	0.0834	74	0.0834
75	0.0697	75	0.0697
76	0.056	76	0.056
77	0.0423	77	0.0423
78	0.0297	78	0.0297
79	0.0194	79	0.0194
80	0.0114	80	0.0114
81	0.00572	81	0.00572
82	0.00191	82	0.00191
83	0	83	0
